score,ein,name,city,county,zip,ntee,files_990pf,foundation_cd,assets,income,revenue,signals
60,206297485,HENRY E & PAULINE S BECKER CHARITABLE FOUNDATION,Sarasota,Sarasota,34236,T22,Y,04,32303090,10814837,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,656206042,ROSKAMP FOUNDATION IRRV TR UA 052096,Sarasota,Sarasota,34236,T23,Y,03,30961485,72459,0,ntee-grantmaker:T23;files-990PF;private-foundation:03;name:foundation
60,046904482,THE REALIZATION FOUNDATION,Bradenton,Manatee,34209,T22,Y,04,25872668,8875335,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,273542831,RALPH S FRENCH CHARITABLE FOUNDATION TRUST,Bradenton,Manatee,34205,T22,Y,04,25112957,16182344,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,873844316,S & S CHARITABLE FOUNDATION INC,Sarasota,Sarasota,34231,T22,Y,04,24376844,3290089,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,926361152,LANGHAM PRIVATE FOUNDATION TR,Sarasota,Sarasota,34237,T20,Y,04,20309323,19759726,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,204256553,GREEN FAMILY FOUNDATION INC,Bradenton,Manatee,34211,T22,Y,04,20144427,5263391,0,ntee-grantmaker:T22;files-990PF;private-foundation:04;name:foundation
60,836260131,DANIEL S BLALOCK JR CHARITABLE FOUNDATION TR UAD 5-13-1988 AS AME,Bradenton,Manatee,34206,T20,Y,04,18018963,7413263,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,261624741,ARNOLD SIMONSEN FAMILY CHARITABLE FOUNDATION INC,Longboat Key,Sarasota,34228,T20,Y,04,17941777,1373500,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,260615969,GARDENER FOUNDATION INC,Sarasota,Sarasota,34236,T20,Y,04,16964953,12495292,0,ntee-grantmaker:T20;files-990PF;private-foundation:04;name:foundation
60,522107509,JAKE FOUNDATION INC,Sarasota,Sarasota,34236,T20Z,Y,04,16627547,19784629,0,ntee-grantmaker:T20Z;files-990PF;private-foundation:04;name:foundation
